1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis
2PHENDEG-PWY	phenylethylamine degradation I
4-HYDROXYMANDELATE-DEGRADATION-PWY	4-hydroxymandelate degradation
4AMINOBUTMETAB-PWY	superpathway of 4-aminobutanoate degradation
ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)
ADENOSYLHOMOCYSCAT-PWY	L-methionine salvage from L-homocysteine
ALACAT2-PWY	L-alanine degradation II (to D-lactate)
ALANINE-DEG3-PWY	L-alanine degradation III
ALANINE-SYN2-PWY	L-alanine biosynthesis II
ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast
AMMASSIM-PWY	ammonia assimilation cycle III
ANAEROFRUCAT-PWY	homolactic fermentation
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)
ANAPHENOXI-PWY	L-phenylalanine degradation II (anaerobic)
ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)
ARGDEG-V-PWY	L-arginine degradation X (arginine monooxygenase pathway)
ARGDEGRAD-PWY	L-arginine degradation V (arginine deiminase pathway)
ARGININE-SYN4-PWY	L-ornithine de novo  biosynthesis
ARGSPECAT-PWY	spermine biosynthesis
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)
ARO-PWY	chorismate biosynthesis I
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I
ASPARAGINE-DEG1-PWY	L-asparagine degradation I
ASPARAGINE-DEG1-PWY-1	L-asparagine degradation III (mammalian)
ASPARAGINESYN-PWY	L-asparagine biosynthesis II
ASPARTATE-DEG1-PWY	L-aspartate degradation I
ASPARTATESYN-PWY	L-aspartate biosynthesis
ASPSYNII-PWY	cyanide detoxification I
BETA-ALA-DEGRADATION-I-PWY	&beta;-alanine degradation I
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I
CALVIN-PWY	Calvin-Benson-Bassham cycle
CAMALEXIN-SYN	camalexin biosynthesis
CAROTENOID-PWY	superpathway of carotenoid biosynthesis
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)
CHOLINE-BETAINE-ANA-PWY	choline degradation I
CITRULBIO-PWY	L-citrulline biosynthesis
CITRULLINE-DEG-PWY	L-citrulline degradation
COA-PWY-1	coenzyme A biosynthesis II (mammalian)
CYANCAT-PWY	cyanate degradation
CYSTEINE-DEG-PWY	L-cysteine degradation I
CYSTSYN-PWY	L-cysteine biosynthesis I
DENITRIFICATION-PWY	nitrate reduction I (denitrification)
DETOX1-PWY	superoxide radicals degradation
DETOX1-PWY-1	reactive oxygen species degradation
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff pathway I
ERGOSTEROL-SYN-PWY	superpathway of ergosterol biosynthesis I
ETHYL-PWY	ethylene biosynthesis I (plants)
FAO-PWY	fatty acid &beta;-oxidation I
FASYN-ELONG-PWY	fatty acid elongation -- saturated
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)
FERMENTATION-PWY	mixed acid fermentation
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage
GLNSYN-PWY	L-glutamine biosynthesis I
GLUAMCAT-PWY	N-acetylglucosamine degradation I
GLUCONEO-PWY	gluconeogenesis I
GLUCONSUPER-PWY	D-gluconate degradation
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation
GLUDEG-I-PWY	GABA shunt
GLUGLNSYN-PWY	L-glutamate biosynthesis IV
GLUT-REDOX-PWY	glutathione redox reactions II
GLUTAMATE-DEG1-PWY	L-glutamate degradation I
GLUTAMATE-SYN2-PWY	L-glutamate biosynthesis II
GLUTAMINDEG-PWY	L-glutamine degradation I
GLUTATHIONESYN-PWY	glutathione biosynthesis
GLUTSYN-PWY	L-glutamate biosynthesis I
GLUTSYNIII-PWY	L-glutamate biosynthesis III
GLYCEROLMETAB-PWY	glycerol degradation V
GLYCGREAT-PWY	creatine biosynthesis
GLYCINE-SYN2-PWY	glycine biosynthesis II
GLYCLEAV-PWY	glycine cleavage
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff
GLYOXYLATE-BYPASS	glyoxylate cycle
GLYSYN-ALA-PWY	glycine biosynthesis III
GLYSYN-PWY	glycine biosynthesis I
GLYSYN-THR-PWY	glycine biosynthesis IV
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)
HEMESYN2-PWY	heme biosynthesis II (anaerobic)
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)
HEXPPSYN-PWY	hexaprenyl diphosphate biosynthesis
HISHP-PWY	L-histidine degradation VI
HISTSYN-PWY	L-histidine biosynthesis
HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)
HOMOSER-THRESYN-PWY	L-threonine biosynthesis
HOMOSERSYN-PWY	L-homoserine biosynthesis
HSERMETANA-PWY	L-methionine biosynthesis III
HYDROXYPRODEG-PWY	trans-4-hydroxy-L-proline degradation I
ILEUDEG-PWY	L-isoleucine degradation I
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)
KDO-LIPASYN-PWY	(Kdo)2-lipid A biosynthesis I
KDOSYN-PWY	Kdo transfer to lipid IVA I
LARABITOLUTIL-PWY	xylitol degradation
LCYSDEG-PWY	L-cysteine degradation II
LEU-DEG2-PWY	L-leucine degradation I
LEUSYN-PWY	L-leucine biosynthesis
LIPAS-PWY	triacylglycerol degradation
LIPASYN-PWY	phospholipases
LYSDEGII-PWY	L-lysine degradation III
LYSINE-AMINOAD-PWY	L-lysine biosynthesis IV
LYSINE-DEG1-PWY	L-lysine degradation XI (mammalian)
MALATE-ASPARTATE-SHUTTLE-PWY	L-aspartate degradation II
MANNCAT-PWY	D-mannose degradation
MANNIDEG-PWY	mannitol degradation I
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	protein N-glycosylation (eukaryotic, high mannose)
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)
MGLDLCTANA-PWY	methylglyoxal degradation VI
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation I
NADPHOS-DEPHOS-PWY-1	NAD phosphorylation and dephosphorylation II (mammalian)
NADSYN-PWY	NAD biosynthesis II (from tryptophan)
NAGLIPASYN-PWY	lipid IVA biosynthesis
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)
P121-PWY	adenine and adenosine salvage I
P165-PWY	superpathway of purines degradation in plants
P185-PWY	formaldehyde assimilation III (dihydroxyacetone cycle)
P221-PWY	octane oxidation
P23-PWY	reductive TCA cycle I
P302-PWY	L-sorbose degradation
P342-PWY	orcinol degradation
P345-PWY	aldoxime degradation
P401-PWY	cyanide degradation
P562-PWY	myo-inositol degradation I
PANTO-PWY	phosphopantothenate biosynthesis I
PENTOSE-P-PWY	pentose phosphate pathway
PHENYLALANINE-DEG1-PWY	L-phenylalanine degradation I (aerobic)
PHESYN	L-phenylalanine biosynthesis I
PHOSLIPSYN2-PWY	superpathway of phospholipid biosynthesis II (plants)
PHOTOALL-PWY	oxygenic photosynthesis
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)
PROPIONMET-PWY	propanoyl CoA degradation I
PROSYN-PWY	L-proline biosynthesis I
PROUT-PWY	L-proline degradation
PWY-0	putrescine degradation III
PWY-1	lathyrine biosynthesis
PWY-1001	cellulose biosynthesis
PWY-101	photosynthesis light reactions
PWY-102	gibberellin inactivation I (2&beta;-hydroxylation)
PWY-1042	glycolysis IV (plant cytosol)
PWY-1061	homogalacturonan biosynthesis
PWY-1081	homogalacturonan degradation
PWY-112	lupeol biosynthesis
PWY-1121	suberin monomers biosynthesis
PWY-116	coniferin metabolism
PWY-1186	L-homomethionine biosynthesis
PWY-1187	glucosinolate biosynthesis from homomethionine
PWY-12	pentaketide chromone biosynthesis
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I
PWY-13	superpathway of tetrahydroxyxanthone biosynthesis
PWY-1422	vitamin E biosynthesis (tocopherols)
PWY-1581	plastoquinol-9 biosynthesis I
PWY-1722	formate reduction to 5,10-methylenetetrahydrofolate
PWY-1741	indole-3-acetyl-ester conjugate biosynthesis
PWY-1782	superpathway of indole-3-acetate conjugate biosynthesis
PWY-1801	formaldehyde oxidation II (glutathione-dependent)
PWY-181	photorespiration
PWY-1822	indole-3-acetate activation I
PWY-1881	formate oxidation to CO2
PWY-1901	aurone biosynthesis
PWY-1921	indole-3-acetate activation II
PWY-1961	indole-3-acetate degradation I
PWY-1962	indole-3-acetate degradation II
PWY-1981	indole-3-acetate degradation III
PWY-2	putrescine degradation IV
PWY-2002	isoflavonoid biosynthesis I
PWY-2021	indole-3-acetate degradation IV
PWY-2055	superpathway of pterocarpan biosynthesis (via daidzein)
PWY-2083	isoflavonoid biosynthesis II
PWY-2161	folate polyglutamylation
PWY-2161B	glutamate removal from folates
PWY-2181	free phenylpropanoid acid biosynthesis
PWY-2201	folate transformations I
PWY-2229	superpathway of pterocarpan biosynthesis (via formononetin)
PWY-2261	ascorbate glutathione cycle
PWY-2301	myo-inositol biosynthesis
PWY-2321	formononetin biosynthesis
PWY-2343	daidzein conjugates interconversion
PWY-2345	genistein conjugates interconversion
PWY-2361	3-oxoadipate degradation
PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type
PWY-2463	medicarpin biosynthesis
PWY-2464	maackiain biosynthesis
PWY-2467	pisatin biosynthesis
PWY-2501	fatty acid &alpha;-oxidation I
PWY-2541	plant sterol biosynthesis
PWY-2561	medicarpin conjugates interconversion
PWY-2582	brassinosteroid biosynthesis II
PWY-2681	trans-zeatin biosynthesis
PWY-2701	maackiain conjugates interconversion
PWY-2722	trehalose degradation IV
PWY-2723	trehalose degradation V
PWY-2724	alkane oxidation
PWY-2761	glyceollin biosynthesis I
PWY-2762	glyceollin biosynthesis II
PWY-2781	cis-zeatin biosynthesis
