TIGR00984	mitochondrial import inner membrane, translocase subunit
TIGR01344	malate synthase A
TIGR01720	non-ribosomal peptide synthase domain TIGR01720
TIGR00604	DNA repair helicase (rad3)
TIGR02544	type III secretion apparatus lipoprotein, YscJ/HrcJ family
TIGR00373	transcription factor E
TIGR02095	glycogen/starch synthase, ADP-glucose type
TIGR04075	polynucleotide kinase-phosphatase
TIGR00912	spore germination protein (amino acid permease)
TIGR03277	putative methanogenesis marker domain 9
TIGR01779	TonB-dependent vitamin B12 receptor
TIGR03056	putative magnesium chelatase accessory protein
TIGR02814	PfaD family protein
TIGR00633	exodeoxyribonuclease III (xth)
TIGR04387	major capsid protein, N4-gp56 family
TIGR00291	rRNA metabolism protein, SBDS family
TIGR01962	NADH dehydrogenase (quinone), D subunit
TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase
TIGR03441	urea transporter
TIGR02977	phage shock protein A
TIGR02968	succinate dehydrogenase, hydrophobic membrane anchor protein
TIGR04099	probable biosynthetic protein, Pnap_2097 family
TIGR02354	thiamine biosynthesis protein ThiF
TIGR00905	transporter, basic amino acid/polyamine antiporter (APA) family
TIGR01944	electron transport complex, RnfABCDGE type, B subunit
TIGR02361	dihydroxyacetone kinase
TIGR02716	C-20 methyltransferase BchU
TIGR00887	phosphate:H+ symporter
TIGR03977	His-Xaa-Ser system radical SAM maturase HxsC
TIGR01994	SUF system FeS assembly protein, NifU family
TIGR01444	methyltransferase, FkbM family
TIGR04412	type II secretion system protein M
TIGR03324	alternate F1F0 ATPase, F1 subunit alpha
TIGR01056	DNA topoisomerase III
TIGR03887	thiocyanate hydrolase, gamma subunit
TIGR01439	transcriptional regulator, AbrB family
TIGR03715	KxYKxGKxW signal peptide
TIGR03165	F1/F0 ATPase, Methanosarcina type, subunit 2
TIGR03736	PRTRC system ThiF family protein
TIGR02694	arsenite oxidase, small subunit
TIGR00997	intracellular septation protein A
TIGR04263	SasC/Mrp/FmtB intercellular aggregation domain
TIGR01627	uncharacterized plant-specific domain TIGR01627
TIGR03275	putative methanogenesis marker protein 8
TIGR01290	nitrogenase cofactor biosynthesis protein NifB
TIGR04467	hydroxymethylcytosylglucuronate/cytosylglucuronate synthase
TIGR00347	dethiobiotin synthase
TIGR04175	archaeosortase D
TIGR00431	tRNA pseudouridine(55) synthase
TIGR01521	fructose-bisphosphate aldolase, class II, Calvin cycle subtype
TIGR01887	putative dipeptidase
TIGR01245	anthranilate phosphoribosyltransferase
TIGR04396	surface carbohydrate biosynthesis protein
TIGR03839	adhesin P1
TIGR03041	chlorophyll a/b binding light-harvesting protein
TIGR01408	ubiquitin-activating enzyme E1
TIGR02948	RNA polymerase sigma-W factor
TIGR02932	V-containing nitrogenase, beta subunit
TIGR00009	ribosomal protein bL28
TIGR03262	putative 2-aminoethylphosphonate ABC transporter, permease protein
TIGR03639	CRISPR-associated endonuclease Cas1, subtype II/NMENI
TIGR03095	rusticyanin
TIGR02330	2-methylcitrate dehydratase
TIGR04161	VPEID-CTERM protein sorting domain
TIGR04427	dTDP-4-dehydro-6-deoxyglucose aminotransferase
TIGR03824	flagellar biosynthesis anti-sigma factor FlgM
TIGR00561	NAD(P)(+) transhydrogenase (AB-specific), alpha subunit
TIGR00630	excinuclease ABC subunit A
TIGR01260	ATP synthase F0, C subunit
TIGR02226	N-terminal double-transmembrane domain
TIGR02559	type III secretion protein HrpB7
TIGR02363	dihydroxyacetone kinase, DhaK subunit
TIGR01105	regulatory protein GalF
TIGR00612	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
TIGR03274	putative methanogenesis marker protein 7
TIGR02410	trimethyllysine dioxygenase
TIGR03559	probable F420-dependent oxidoreductase, Rv3520c family
TIGR04548	DnaD family protein
TIGR00143	carbamoyltransferase HypF
TIGR00853	PTS system, lactose/cellobiose family IIB component
TIGR03635	ribosomal protein uS17
TIGR04045	putative N-acetyltransferase, MSMEG_0567 N-terminal domain family
TIGR00661	conserved hypothetical protein
TIGR00825	PTS system, glucitol/sorbitol-specific, IIBC component
TIGR01661	ELAV/HuD family splicing factor
TIGR02035	D-serine ammonia-lyase
TIGR04223	cyclic lactone autoinducer peptide
TIGR02374	nitrite reductase [NAD(P)H], large subunit
TIGR00590	proliferating cell nuclear antigen (pcna)
TIGR04568	selenouridine synthase, SelU N-terminal-like subunit
TIGR04188	methyltransferase, ATP-grasp peptide maturase system
TIGR01131	ATP synthase F0, A subunit
TIGR01020	ribosomal protein uS5
TIGR04337	AmmeMemoRadiSam system radical SAM enzyme
TIGR00798	tricarboxylate carrier
TIGR03108	exosortase A system-associated amidotransferase 1
TIGR03666	PPOX class probable F420-dependent enzyme, Rv2061 family
TIGR02385	addiction module toxin, RelE/StbE family
TIGR03491	putative RecB family nuclease, TM0106 family
TIGR02046	succinate dehydrogenase (or fumarate reductase) cytochrome b subunit, b558 family
TIGR01352	TonB family C-terminal domain
TIGR01455	phosphoglucosamine mutase
TIGR01844	type I secretion outer membrane protein, TolC family
TIGR02293	putative toxin-antitoxin system antitoxin component, TIGR02293 family
TIGR02165	CRISPR-associated protein GSU0054/csb2, Dpsyc system
TIGR03485	CRISPR-associated protein Cas8a1/Csx13, MYXAN subtype
TIGR02732	9,9'-di-cis-zeta-carotene desaturase
TIGR01091	uracil phosphoribosyltransferase
TIGR00410	PTS system, lactose/cellobiose family IIC component
TIGR00938	homoserine kinase
TIGR01603	phage major tail protein, phi13 family
TIGR02339	thermosome, various subunits, archaeal
TIGR01287	nitrogenase iron protein
TIGR02323	phosphonate C-P lyase system protein PhnK
TIGR01259	comEA protein
TIGR00436	GTP-binding protein Era
TIGR03411	urea ABC transporter, ATP-binding protein UrtD
TIGR01710	type II secretion system protein G
TIGR03937	poly-beta-1,6 N-acetyl-D-glucosamine synthase
TIGR03259	methyl-coenzyme M reductase, gamma subunit
TIGR00669	aspartate--ammonia ligase
TIGR00450	tRNA modification GTPase TrmE
TIGR00999	membrane fusion protein cluster 2 protein
TIGR01770	proton-translocating NADH-quinone oxidoreductase, chain N
TIGR04327	outer membrane protein, LA_2444/LA_4059 family
TIGR02423	protocatechuate 3,4-dioxygenase, alpha subunit
TIGR00766	inner membrane protein YhjD
TIGR04298	histidine-histamine antiporter
TIGR01951	transcription antitermination factor NusB
TIGR03747	integrating conjugative element membrane protein, PFL_4697 family
TIGR03799	putative pyridoxal-dependent aspartate 1-decarboxylase
TIGR04141	sporadically distributed protein, TIGR04141 family
TIGR04304	GeoRSP system SPASM domain protein
TIGR02368	dimethylamine:corrinoid methyltransferase
TIGR04322	putative 7-cyano-7-deazaguanosine (preQ0) biosynthesis protein QueE
TIGR00054	RIP metalloprotease RseP
TIGR02739	type-F conjugative transfer system pilin assembly protein TraF
TIGR03444	ergothioneine biosynthesis glutamate--cysteine ligase EgtA
TIGR02755	type-F conjugative transfer system pilin acetylase TraX
TIGR04139	putative peptide modification target, TIGR04139 family
TIGR00227	riboflavin-specific deaminase C-terminal domain
TIGR01647	plasma-membrane proton-efflux P-type ATPase
TIGR03019	FemAB-related protein, PEP-CTERM system-associated
TIGR00245	TIGR00245 family protein
TIGR00240	aspartate carbamoyltransferase, regulatory subunit
TIGR02987	type II restriction m6 adenine DNA methyltransferase, Alw26I/Eco31I/Esp3I family
TIGR01417	phosphoenolpyruvate-protein phosphotransferase
TIGR01403	type III secretion protein, HrpO family
TIGR03805	parallel beta-helix repeat-containing protein
TIGR04519	MoCo/4Fe-4S cofactor protein extended Tat translocation domain
TIGR01308	ribosomal protein uL30
TIGR01530	NAD nucleotidase
TIGR00171	3-isopropylmalate dehydratase, small subunit
TIGR00307	ribosomal protein eS8
TIGR02155	phenylacetate-CoA ligase
TIGR04062	dnd system-associated protein 4
TIGR01824	aminodeoxychorismate synthase, component I
TIGR02699	archaeoflavoprotein AfpA
TIGR03344	type VI secretion system effector, Hcp1 family
TIGR01615	uncharacterized plant-specific domain TIGR01615
TIGR03655	restriction alleviation protein, Lar family
TIGR03236	DNA phosphorothioation-dependent restriction protein DptG
TIGR01552	prevent-host-death family protein
TIGR01880	N-acyl-L-amino-acid amidohydrolase
TIGR03688	proteasome accessory factor PafA2
TIGR02527	Dot/Icm secretion system protein IcmQ
TIGR00261	TraB family protein
TIGR02285	conserved hypothetical protein
TIGR04459	type I toxin-antitoxin system toxin TisB
TIGR02899	spore coat assembly protein SafA
TIGR01210	radical SAM enzyme, TIGR01210 family
TIGR03671	CCA-adding enzyme
TIGR00648	recombination protein U
